iter	Passed	Remaining
582	53340	24428
583	53431	24336
584	53525	24246
585	53611	24152
586	53696	24058
587	53787	23966
588	53872	23872
589	53962	23780
590	54049	23686
591	54138	23594
592	54223	23500
593	54313	23407
594	54401	23314
595	54489	23221
596	54577	23129
597	54662	23035
598	54754	22943
599	54844	22852
600	54935	22760
601	55026	22668
602	55116	22576
603	55203	22483
604	55293	22391
605	55388	22301
606	55476	22209
607	55569	22118
608	55662	22027
609	55755	21936
610	55842	21843
611	55931	21751
612	56017	21657
613	56107	21565
614	56193	21472
615	56279	21378
616	56365	21285
617	56450	21191
618	56541	21100
619	56633	21009
620	56721	20916
621	56811	20824
622	56903	20733
623	56993	20641
624	57077	20547
625	57168	20456
626	57253	20362
627	57342	20270
628	57436	20180
629	57520	20086
630	57607	19993
631	57693	19900
632	57779	19807
633	57866	19714
634	57953	19622
635	58041	19529
636	58130	19437
637	58216	19344
638	58303	19251
639	58387	19158
640	58473	19065
641	58559	18972
642	58644	18879
643	58728	18785
644	58815	18693
645	58902	18600
646	58992	18509
647	59084	18418
648	59172	18326
649	59261	18234
650	59346	18141
651	59437	18050
652	59535	17960
653	59634	17872
654	59724	17780
655	59815	17689
656	59902	17596
657	59989	17504
658	60088	17415
659	60182	17325
660	60277	17235
661	60367	17143
662	60453	17051
663	60544	16959
664	60637	16869
665	60733	16779
666	60828	16689
667	60925	16599
668	61015	16507
669	61023	16394
670	61114	16303
671	61208	16212
672	61305	16123
673	61399	16033
674	61492	15942
675	61591	15853
676	61683	15762
677	61774	15671
678	61869	15581
679	61955	15488
680	62046	15397
681	62139	15307
682	62233	15216
683	62328	15126
684	62419	15035
685	62507	14943
686	62593	14851
687	62689	14761
688	62775	14668
689	62860	14576
690	62945	14483
691	63036	14392
692	63121	14300
693	63204	14207
694	63293	14115
695	63381	14024
696	63510	13941
697	63600	13849
698	63692	13759
699	63779	13667
700	63868	13575
701	63951	13482
702	64039	13390
703	64126	13298
704	64210	13206
705	64300	13115
706	64384	13022
707	64473	12931
708	64520	12831
709	64607	12739
710	64692	12647
711	64784	12556
712	64872	12464
713	64960	12373
714	65049	12282
715	65134	12189
716	65219	12097
717	65310	12006
718	65395	11914
719	65481	11823
720	65568	11731
721	65653	11639
722	65745	11548
723	65831	11456
724	65920	11365
725	66008	11274
726	66099	11183
727	66184	11091
728	66274	11000
729	66368	10909
730	66454	10818
731	66547	10727
732	66635	10636
733	66721	10544
734	66803	10452
735	66892	10360
736	66977	10269
737	67064	10177
738	67153	10086
739	67244	9995
740	67330	9904
741	67421	9813
742	67507	9721
743	67593	9630
744	67677	9538
745	67763	9446
746	67851	9355
747	67935	9263
748	68025	9172
749	68109	9081
750	68198	8990
751	68284	8898
752	68372	8807
753	68459	8716
754	68546	8625
755	68634	8533
756	68721	8442
757	68809	8351
758	68893	8259
759	68978	8168
760	69063	8077
761	69154	7986
762	69240	7895
763	69329	7804
764	69416	7712
765	69506	7622
766	69589	7530
767	69676	7439
768	69763	7348
769	69849	7257
770	69935	7165
771	70026	7075
772	70116	6984
773	70201	6893
774	70289	6802
775	70375	6711
776	70459	6619
777	70550	6529
778	70636	6437
779	70721	6346
780	70811	6256
781	70900	6165
782	70987	6074
783	71074	5983
784	71158	5892
785	71245	5801
786	71336	5710
787	71418	5619
788	71505	5528
789	71593	5437
790	71678	5346
791	71766	5255
792	71852	5164
793	71937	5073
794	72027	4983
795	72115	4892
796	72201	4801
797	72290	4710
798	72380	4620
799	72466	4529
800	72560	4438
801	72651	4348
802	72743	4257
803	72832	4167
804	72916	4076
805	73004	3985
806	73091	3894
807	73183	3804
808	73274	3713
809	73360	3622
810	73447	3531
811	73531	3441
812	73621	3350
813	73706	3259
814	73798	3169
815	73885	3078
816	73973	2987
817	74057	2897
818	74144	2806
819	74230	2715
820	74319	2625
821	74406	2534
822	74493	2443
823	74580	2353
824	74664	2262
825	74754	2172
826	74847	2081
827	74940	1991
828	75031	1900
829	75122	1810
830	75220	1719
831	75311	1629
